\fixlen = T
\RowsRetrieved = 154
\ORIGIN = 'IPAC Infrared Science Archive (IRSA), Caltech/JPL'
\DATETIME = '2019-05-07 00:35:02'
\DataTag = 'ADS/IRSA.Gator#2019/0507/003502_31569'
\DATABASE = 'SWIRE ELAIS N1 Region 160um Spring '05 Spitzer Catalog (elaisn1_160_cat_s05)'
\EQUINOX = 'J2000'
\SKYAREA = 'box with center (242.51300,+54.57359) and length 6235.99 arcsec.'
\StatusFile = '/workspace/TMP_FbExUm_31569/Gator/irsa/31569/log.31569.html'
\SQL = 'WHERE (no constraints)
\SQL = 'SELECT (11 column names follow in next row.)'
\ 
\ 
\ cntr
\ ___ entry counter (key) number (unique within table)
\ object
\ ___ object name designation
\ ra (deg)
\ ___ right ascension (J2000 decimal deg)
\ dec (deg)
\ ___ declination (J2000 decimal deg)
\ clon
\ ___ Right ascention in Sexagesimal format.
\ clat
\ ___ Declination in Sexagesimal format.
\ unc_ra (arcsec)
\ ___ position uncertainty in RA
\ unc_dec (arcsec)
\ ___ position uncertainty in Dec
\ unc_rd (arcsec)
\ ___ covariance position uncertainty
\ flux_prf (mjy)
\ ___ point-response-function flux
\ uncf_prf (mjy)
\ ___ point-response-function flux uncertainty
\ flux_ap3 (mjy)
\ ___ flux for aperture #3 (r=60.0")
\ flag
\ ___ extraction notes and flags
\ 
\
|cntr|object                   |ra        |dec      |clon        |clat        |unc_ra  |unc_dec |unc_rd   |flux_prf|uncf_prf|flux_ap3|flag|
|int |char                     |double    |double   |char        |char        |double  |double  |double   |double  |double  |double  |char|
|    |                         |deg       |deg      |            |            |arcsec  |arcsec  |arcsec   |mjy     |mjy     |mjy     |    |
|null|null                     |null      |null     |null        |null        |null    |null    |null     |null    |null    |null    |null|
  301 SWIRE2_160_J161250+540802 243.211365 54.134106 16h12m50.73s 54d08m02.78s 3.54e+00 3.47e+00  6.95e-01   177.84     5.91   228.38 1    
  565 SWIRE2_160_J161430+545850 243.628006 54.980823 16h14m30.72s 54d58m50.96s 2.81e+00 2.61e+00  7.60e-01   195.39     4.82   189.42 1    
  342 SWIRE2_160_J161314+541405 243.312485 54.234802 16h13m15.00s 54d14m05.29s 2.94e+00 3.06e+00  7.20e-01   164.97     4.62    21.62 1    
  614 SWIRE2_160_J161411+551112 243.548431 55.186752 16h14m11.62s 55d11m12.31s 3.85e+00 3.60e+00  8.89e-01   145.08     4.81   201.12 1    
  175 SWIRE2_160_J160655+541453 241.733154 54.248238 16h06m55.96s 54d14m53.66s 5.33e+00 4.97e+00  1.78e+00    96.99     5.11   102.40 2    
  447 SWIRE2_160_J160751+551225 241.964264 55.207222 16h07m51.42s 55d12m26.00s 2.20e+00 2.14e+00  7.02e-01   269.10     5.51   252.25 1    
  154 SWIRE2_160_J160408+542523 241.033844 54.423092 16h04m08.12s 54d25m23.13s 4.50e+00 4.46e+00 -9.76e-01   140.40     5.72   110.82 1    
  372 SWIRE2_160_J160811+545214 242.045990 54.870762 16h08m11.04s 54d52m14.74s 3.47e+00 3.18e+00  5.29e-01   146.25     4.56   377.79 1    
  142 SWIRE2_160_J161041+534302 242.673874 53.717316 16h10m41.73s 53d43m02.34s 3.38e+00 3.27e+00 -7.24e-01   162.63     5.03   178.43 1    
  279 SWIRE2_160_J161119+541303 242.831222 54.217537 16h11m19.49s 54d13m03.13s 4.50e+00 4.43e+00  1.05e+00   131.04     5.50   -30.44 1    
  456 SWIRE2_160_J161300+544504 243.252670 54.751137 16h13m00.64s 54d45m04.09s 4.68e+00 4.43e+00  9.07e-01   116.18     5.17   155.14 1    
  401 SWIRE2_160_J161302+542841 243.260300 54.478298 16h13m02.47s 54d28m41.87s 3.47e+00 3.52e+00  9.79e-01   167.31     5.66   174.91 1    
  235 SWIRE2_160_J161429+534240 243.623642 53.711182 16h14m29.67s 53d42m40.26s 1.83e+00 1.79e+00  6.12e-01   465.66     9.08   445.65 1    
  450 SWIRE2_160_J161123+545151 242.849426 54.864407 16h11m23.86s 54d51m51.87s 4.93e+00 4.57e+00  2.10e+00   121.68     6.21    47.05 1    
   44 SWIRE2_160_J160634+534725 241.641968 53.790493 16h06m34.07s 53d47m25.77s 3.67e+00 3.92e+00 -7.85e-01   159.12     5.78   101.67 1    
  340 SWIRE2_160_J160519+550228 241.332565 55.041218 16h05m19.82s 55d02m28.38s 4.36e+00 4.43e+00 -3.20e-01   138.06     6.15    36.14 1    
  229 SWIRE2_160_J160434+544428 241.142899 54.741337 16h04m34.30s 54d44m28.81s 1.25e+00 1.23e+00  2.84e-01   548.73     6.70   384.35 1    
  501 SWIRE2_160_J161254+545521 243.227432 54.922634 16h12m54.58s 54d55m21.48s 1.56e+00 1.54e+00  5.80e-01   421.20     7.25   337.90 1    
  152 SWIRE2_160_J160933+535216 242.390488 53.871201 16h09m33.72s 53d52m16.32s 3.21e+00 3.18e+00  3.42e-01   210.60     6.21   263.37 1    
  617 SWIRE2_160_J161331+551710 243.380264 55.286324 16h13m31.26s 55d17m10.77s 4.21e+00 3.96e+00  1.81e+00   140.40     5.80   174.80 1    
  467 SWIRE2_160_J161434+543838 243.643326 54.644054 16h14m34.40s 54d38m38.59s 3.89e+00 3.60e+00  1.40e+00   152.10     5.22   191.53 1    
   52 SWIRE2_160_J160444+540202 241.187271 54.034073 16h04m44.95s 54d02m02.66s 3.57e+00 3.67e+00 -1.02e+00   157.95     5.62    71.88 1    
  364 SWIRE2_160_J161038+543615 242.660004 54.604183 16h10m38.40s 54d36m15.06s 4.28e+00 4.10e+00 -9.29e-01   139.23     6.14   313.56 1    
  405 SWIRE2_160_J160549+551619 241.457947 55.271961 16h05m49.91s 55d16m19.06s 1.39e+00 1.28e+00  2.74e-01   649.35    10.00   757.69 1    
  438 SWIRE2_160_J160715+551441 241.813141 55.244793 16h07m15.15s 55d14m41.25s 4.03e+00 3.45e+00  6.88e-01   166.14     5.76   290.86 1    
  686 SWIRE2_160_J161522+552035 243.842941 55.343304 16h15m22.31s 55d20m35.89s 4.28e+00 4.10e+00  1.39e+00   119.34     4.45   139.35 1    
  255 SWIRE2_160_J160931+541823 242.381821 54.306419 16h09m31.64s 54d18m23.11s 2.26e+00 2.17e+00 -4.64e-01   259.74     5.39   264.07 1    
  511 SWIRE2_160_J161227+545945 243.113296 54.996105 16h12m27.19s 54d59m45.98s 1.95e+00 1.94e+00 -2.63e-01   325.26     6.03   301.39 1    
  424 SWIRE2_160_J161306+543458 243.276871 54.582977 16h13m06.45s 54d34m58.72s 3.07e+00 2.90e+00  1.07e+00   194.22     5.57   235.05 1    
  209 SWIRE2_160_J160651+542455 241.714035 54.415440 16h06m51.37s 54d24m55.58s 3.59e+00 3.67e+00 -6.73e-01   134.55     4.60   162.51 1    
  393 SWIRE2_160_J160928+544902 242.370285 54.817406 16h09m28.87s 54d49m02.66s 4.21e+00 4.00e+00  1.13e+00   129.87     4.91   135.72 1    
  397 SWIRE2_160_J160741+550153 241.921753 55.031654 16h07m41.22s 55d01m53.95s 3.92e+00 3.60e+00 -7.27e-01   174.33     5.94   238.56 1    
